"Hardback | 464 pages",,"31 Aug 2016","Kregel PublicationsU.S.",,"Grand Rapids United States",English,,,,0825443857,9780825443855,
"Hardback | 1024 pages",,"31 Aug 2016","Kregel PublicationsU.S.",,"Grand Rapids United States",English,,,,0825443865,9780825443862,
"Hardback | 284 pages","138 x 216mm","04 Sep 2020","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,"1st ed. 2016",biography,1137029099,9781137029096,
"Paperback | 632 pages",,"04 Apr 2007","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,,,,0471754978,9780471754978,
"Hardback | 168 pages","138 x 216mm | 317g","18 May 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"20 black &amp; white illustrations 20 black &amp; white line drawings",1138791660,9781138791664,
"Hardback | 300 pages",,"30 Jun 2016","Cold Spring Harbor Laboratory Press",,"United States",English,,,,1621821196,9781621821199,
"Hardback | 274 pages","152 x 229mm | 498g","12 Apr 2016","Taylor &amp; Francis Ltd","CRC Press","London United Kingdom",English,Revised,"2nd Revised edition",,1138904589,9781138904583,
"Paperback | 360 pages","152 x 228mm","29 Nov 2016","Walrus Publishing Incorporated",,"MO United States",English,,,,194044201X,9781940442013,
"Paperback | 160 pages",,"30 Aug 2005","Taylor &amp; Francis Ltd","David Fulton Publishers Ltd","London United Kingdom",English,,,,1843121395,9781843121398,
"Paperback | 240 pages","200 x 265mm | 788g","28 Feb 2016",daab,,"Cologne Germany",English,"New edition","Deluxe ed.",,3942597314,9783942597319,
"Hardback | 304 pages","280 x 355mm","16 May 2016",daab,,Germany,English,,"3rd Revised edition",,3942597373,9783942597371,
"Hardback | 304 pages","280 x 355mm","16 May 2016",daab,,Germany,English,,"2nd Revised edition",,3942597365,9783942597364,
"Hardback | 304 pages","280 x 355mm","16 May 2016",daab,,Germany,English,,,,3942597357,9783942597357,
"Hardback | 760 pages","168 x 245 x 43mm","28 Feb 2007","Cork University Press",,"Cork Ireland",English,,,"maps (some col.)",1859183972,9781859183977,811168
"Hardback | 2960 pages","156 x 234mm","17 Mar 2015","Royal Society Of Chemistry",,"Cambridge United Kingdom",English,,,,1782624562,9781782624561,
"Hardback | 192 pages","140 x 220 x 25mm","31 Mar 1971","Southern Illinois University Press",,"Carbondale United States",English,,,,0809304287,9780809304288,
"Paperback | 624 pages","150 x 250mm","11 Nov 2015","John Wiley and Sons Ltd","John Wiley &amp; Sons Ltd","Chichester United Kingdom",English,,,,0470449691,9780470449691,
"Hardback | 384 pages",,"19 Feb 2016","John Wiley and Sons Ltd",Wiley-Blackwell,"Hoboken United States",English,,,,0470844566,9780470844564,
"Hardback | 450 pages",,"01 Jun 2017","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,,,,0471486493,9780471486497,
"Hardback | 224 pages","152 x 229 x 19mm","10 Jan 2017","Wildside Press",,"Rockville United States",English,,,,147940618X,9781479406180,
"Hardback | 192 pages","138 x 216mm | 260g","31 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138142816,9781138142817,
"Hardback | 276 pages","156 x 234mm | 510g","15 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138172324,9781138172326,
"Paperback | 344 pages","152.4 x 228.6mm","31 Aug 2016","McGill-Queen&#039;s University Press",,"Montreal Canada",English,,,,0773547452,9780773547452,
"Hardback | 344 pages","152.4 x 228.6mm","31 Aug 2016","McGill-Queen&#039;s University Press",,"Montreal Canada",English,,,,0773547444,9780773547445,
"Paperback | 96 pages","156 x 234mm","28 Oct 2020","The History Press Ltd",,"Stroud United Kingdom",English,,,,0752476599,9780752476599,
"Hardback | 432 pages","155.96 x 233.93mm","27 Aug 2015","TAYLOR &amp; FRANCIS",ROUTLEDGE,,English,,,,1138170666,9781138170667,
"Hardback | 340 pages","188.98 x 246.13mm","10 Sep 2015","TAYLOR &amp; FRANCIS",ROUTLEDGE,,English,Revised,Revised,,1138170836,9781138170834,
"Paperback | 325 pages","152 x 229mm","25 May 2020","Pearson Education (US)","Que CorporationU.S.","United States",English,,,,0789748916,9780789748911,
"Paperback | 256 pages","156 x 234mm | 470g","31 May 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,Reprint,"9 black &amp; white illustrations 48 black &amp; white tables 9 black &amp; white line drawings",1138974536,9781138974531,
"Microfilm | 323 pages",,"30 May 2006","European Communities","Office for Official Publications of the European Communities","Luxembourg United Kingdom",English,Illustrated,"illustrated edition",,9289603364,9789289603362,
"Hardback | 129 pages",,"01 Apr 1980","Taylor &amp; Francis Inc","M.E. Sharpe","Armonk United States",English,,,,087332174X,9780873321747,
"Paperback | 256 pages","178 x 235mm","01 Jul 2020","Pearson Education (US)","Prentice Hall","Upper Saddle River United States",English,,,,0131137905,9780131137905,
"Paperback | 357 pages",,"10 Sep 2003","International Labour Office",,"Geneva Switzerland",English,,,,9221128741,9789221128748,
"Paperback | 128 pages","200 x 279 x 8mm","30 Apr 2011","Stone Bridge Press",,"Berkeley CA United States",English,,Reprint,"60 colour illustrations",0893469572,9780893469573,
"Paperback | 128 pages","200 x 279 x 8mm","30 Apr 2011","Stone Bridge Press",,"Berkeley CA United States",English,,,"60 colour illustrations",0893469580,9780893469580,
"Paperback | 333 pages",,"30 Jun 2000","B Jain Publishers Pvt Ltd",,"New Delhi India",English,,,,8170218306,9788170218302,
"Paperback | 156 pages",,"30 Jun 2002","B Jain Publishers Pvt Ltd",,"New Delhi India",English,,,,8180562158,9788180562150,
"Paperback | 192 pages",,"03 Feb 2014","Hebrew Union College PressU.S.",,"United States","English Hebrew",,,,0878202048,9780878202041,
"Hardback | 240 pages","171 x 246mm","07 May 2013","Sage Publications Ltd","Learning Matters Ltd","Exeter United Kingdom",English,Revised,"2nd Revised edition",,1446266648,9781446266649,
"Hardback | 320 pages","152 x 229mm | 500g","07 Oct 2016","Polity Press",,"Oxford United Kingdom",English,,,,074563253X,9780745632537,
"Hardback | 378 pages","150 x 230mm","20 Sep 2007","CENGAGE LEARNING","Lexington Books","Lexington Mass. United Kingdom",English,,,,0669014249,9780669014242,
"Paperback | 130 pages",,"01 Jul 1990","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810203071,9789810203078,
"Paperback | 350 pages",,"22 Jul 1991","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810206941,9789810206949,
"Hardback | 272 pages",,"01 Dec 1993","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810216289,9789810216283,
"Hardback | 200 pages",,"01 Sep 1994","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810216718,9789810216719,
"Hardback | 580 pages",,"03 Aug 1998","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810230478,9789810230470,
"Hardback | 640 pages",,"02 Dec 1998","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810234031,9789810234034,
"Paperback | 238 pages",,"01 Jan 1987","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,981023693X,9789810236939,
"Paperback | 224 pages",,"01 Jan 1994","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810238711,9789810238711,
"Hardback | 224 pages",,"01 Jan 1979","Taylor &amp; Francis Inc","M.E. Sharpe","Armonk United States",English,,,,0873321391,9780873321396,
"Paperback | 832 pages","171 x 246mm","11 Aug 2016","Oxford University Press",,"Oxford United Kingdom",English,,,"Four black-and-white halftones",0198744684,9780198744689,
"Hardback | 640 pages","150 x 250mm | 500g","03 Nov 2020","John Wiley and Sons Ltd","John Wiley &amp; Sons Ltd","Chichester United Kingdom",English,,"New ed.",,0470599375,9780470599372,
"Paperback | 296 pages",,"30 Jun 1999","B Jain Publishers Pvt Ltd",,"New Delhi India",English,,,,8170215544,9788170215547,
"Hardback | 450 pages",,"01 Oct 1997","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany",English,,,"40 figures 21 tables",3540627855,9783540627852,
"Paperback | 178 pages","230 x 290mm","01 Oct 1984","European Commission",,"Brussels Belgium",English,,,,9282550095,9789282550090,
"Hardback | 204 pages","152 x 229 x 16mm | 300g","01 Oct 2016","ROWMAN &amp; LITTLEFIELD","Rowman &amp; Littlefield Education","Lanham United States",English,,,,0810888858,9780810888852,
"Paperback | 122 pages","215.9 x 279.4mm","01 Jan 2016","RAND Corporation",,"United States",English,,2nd,,0833080741,9780833080745,
"Paperback | 328 pages","140 x 216mm","01 Jun 2016","Cambridge Library Collection","CAMBRIDGE UNIVERSITY PRESS","Cambridge United Kingdom",English,,,"15 b/w illus.",1108076599,9781108076593,
"CD-Audio | 2 pages",,"30 May 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Revised,"2nd Revised edition",,0415486262,9780415486262,1814366
"Paperback | 272 pages",,"31 Mar 1988","Taylor &amp; Francis Inc","M.E. Sharpe","Armonk United States",English,,,,0873324536,9780873324533,
"Hardback | 296 pages","138 x 216mm","10 Jun 2020","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,"1st ed. 2016",biography,1137359595,9781137359599,
"Hardback | 365 pages","148 x 210mm","13 Jul 2016","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,"2016 ed.","34 colour illustrations 2 black &amp; white tables biography",1137377682,9781137377685,
"Paperback | 160 pages",,"12 Jul 2016",Epitaph,,"Los Angeles United States",English,,,,162875012X,9781628750126,1399138
"Paperback | 504 pages",,"30 May 2006","Pearson Professional Education",MANNING,"London United Kingdom",English,,,,1932394540,9781932394542,
"Hardback | 230 pages","155 x 235mm | 514g","23 Jul 2016","Springer Verlag Japan",,"Tokyo Japan",English,,"2016 ed.","43 black &amp; white illustrations 81 colour illustrations biography",4431544623,9784431544623,
"Hardback | 585 pages","170 x 220mm","01 Dec 1987",Springer,"Kluwer Academic Publishers","Dordrecht Netherlands",English,,,"147 black &amp; white illustrations biography",902771746X,9789027717467,
"Hardback | 320 pages","156 x 234mm","07 Nov 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"10 black &amp; white illustrations",1138193526,9781138193529,
"Hardback | 64 pages",,"15 Dec 2006","World Bank Publications",,"Washington United States",English,,,,0821362542,9780821362549,
"Paperback | 240 pages","203 x 254mm","10 Aug 2016","Pearson Education (US)","New Riders Publishing","United States",English,,,,0321833538,9780321833532,
"Hardback | 256 pages","156 x 234mm","26 Oct 2007","EDINBURGH UNIVERSITY PRESS",,"Edinburgh United Kingdom",English,,,"39 black &amp; white illustrations",0748633197,9780748633197,
"Paperback | 128 pages","216 x 279mm","30 Jun 2006","DK Publishing","DORLING KINDERSLEY","New York United States",English,,,,074400585X,9780744005851,
"Hardback | 440 pages","170 x 244mm","13 Jan 2017","John Wiley and Sons Ltd",Wiley-Blackwell,"Hoboken United States",English,,,,0470060999,9780470060995,
"Hardback | 219 pages",,"01 Jun 1984","Kluwer Fed",,Netherlands,English,,,,9031202088,9789031202089,
"Hardback | 200 pages","168 x 244mm | 788g","22 Aug 2014","John Wiley and Sons Ltd",Wiley-Blackwell,"Hoboken United States",English,,,,0470018046,9780470018040,
"Hardback | 118 pages",,"03 Feb 2004","Renouf Pub Co Ltd","European Communities","Luxumbourg United Kingdom",English,,,"col. Illustrations",9289702249,9789289702249,
"Paperback | 54 pages",,"14 Aug 2002","Renouf Pub Co Ltd","European Communities","United Kingdom",English,,,Col.ill.tabs.ch.,9291521051,9789291521050,
"Hardback | 480 pages",,"30 Dec 2010","John Wiley and Sons Ltd","John Wiley &amp; Sons Inc","New York United States",English,,,,0471117056,9780471117056,
"Hardback | 700 pages","150 x 250mm","05 May 2016","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,Revised,"2nd Revised edition",,0471139076,9780471139072,
"Hardback | 300 pages","150 x 250mm","01 Sep 2005","John Wiley &amp; Sons Inc",,"New York United States",English,,,,0471248932,9780471248934,
"Hardback | 330 pages",,"12 Jan 2007","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,,,,0471331287,9780471331285,
"Hardback | 250 pages",,"10 Aug 2004","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,,,,0471549126,9780471549123,
"Hardback | 224 pages","150 x 250mm","07 Oct 2005","John Wiley and Sons Ltd","John Wiley &amp; Sons Inc","New York United States",English,,,,0471571636,9780471571636,
"Hardback | 300 pages",,"16 Dec 2005","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,,,,0471851299,9780471851295,
"Paperback | 208 pages","150 x 250mm","08 Dec 2020","John Wiley and Sons Ltd","John Wiley &amp; Sons Inc","New York United States",English,,,,0471164046,9780471164043,
"Hardback | 728 pages","168 x 244mm","19 Feb 2016","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,,,,0471957356,9780471957355,
"Paperback | 408 pages","216 x 276mm | 505g","20 Jan 2017","McGraw-Hill Education - Europe","Schaum Outline Series","New York United States",English,,,,0071600477,9780071600477,
"Hardback | 350 pages","150 x 250mm | 500g","29 Oct 2019","John Wiley and Sons Ltd",Wiley-Blackwell,"Hoboken United States",English,,,,0470225947,9780470225943,
"Paperback | 136 pages",,"19 Sep 1998","University of Toronto Press",,"Toronto Canada","English French",,,,0802082564,9780802082565,
"Paperback | 285 pages",,"14 Mar 2014",Springer,,"United States",French,,"2014 ed.",,281780323X,9782817803234,
"Hardback | 200 pages","154.94 x 234.95mm | 510g","01 Jan 2016","Springer-Verlag New York Inc.",,"New York NY United States",English,,"2015 ed.","100 black &amp; white illustrations biography",146142271X,9781461422716,
"Paperback | 314 pages","140 x 216mm","01 Jun 2016","Cambridge Library Collection","CAMBRIDGE UNIVERSITY PRESS","Cambridge United Kingdom",English,,,,1108078052,9781108078054,
"Hardback | 332 pages","152 x 229mm","02 Apr 2001","National Academies Press",,"Washington United States",English,,,,0309074118,9780309074117,
"Paperback | 632 pages","216 x 280mm","05 Feb 1998","National Academies Press",,"Washington United States",English,,,,0309060362,9780309060363,
"Paperback | 78 pages","216 x 280mm","29 Mar 2001","National Academies Press",,"Washington United States",English,,,,0309072875,9780309072878,
"Paperback | 104 pages","216 x 280mm","13 Nov 2000","National Academies Press",,"Washington United States",English,,,,0309071380,9780309071383,
"Paperback | 187 pages","152 x 229mm","30 Oct 2000","National Academies Press",,"Washington United States",English,,,,0309071887,9780309071888,
"Paperback | 132 pages","216 x 280mm","01 Sep 2002","National Academies Press",,"Washington United States",English,,,"Illustrations 1 map",0309084601,9780309084604,
"Paperback | 178 pages","216 x 280mm","09 Oct 2000","National Academies Press",,"Washington United States",English,,,"Illustrations map",0309071860,9780309071864,
"Paperback | 104 pages","216 x 280mm","31 Jul 2000","National Academies Press",,"Washington United States",English,,,,0309069769,9780309069762,
"Paperback | 212 pages","152 x 229mm","01 Sep 2000","National Academies Press",,"Washington United States",English,,,,030907083X,9780309070836,
"Hardback | 464 pages","171 x 246mm","07 Jun 2020","Oxford University Press",,"Oxford United Kingdom",English,Revised,"2nd Revised edition",,0199691940,9780199691944,
"Paperback | 255 pages",,"01 Jul 1984","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,"Illustrations ports.",9065441492,9789065441492,
"Paperback | 272 pages","178 x 232mm | 1000g","05 May 2017","Pearson Education (US)","Prentice Hall","Upper Saddle River United States",English,,,,0138024839,9780138024833,
"Hardback | 216 pages",,"11 Nov 2016","Polity Press",,"Oxford United Kingdom",English,,,,0745640656,9780745640655,
"Hardback | 369 pages","150 x 230mm","31 Dec 1995","Kluwer Academic Pub",Springer,"New York United Kingdom",English,,,,0306305739,9780306305733,
"Paperback | 160 pages","230 x 290mm","01 Sep 1985","European Commission",,"Brussels Belgium",English,,,,9282552241,9789282552247,
"Paperback | 256 pages","156 x 234mm","31 Dec 2020","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,0415449928,9780415449922,
"Hardback | 511 pages",,"01 Apr 1979",Springer,"Plenum Publishing Corporation",,English,,,,0306200082,9780306200083,
"Hardback | 432 pages","150 x 230mm","31 Jan 1986","University of Wisconsin Press",,"Wisconsin United States",English,,,,0299103005,9780299103002,
"Hardback | 248 pages",,"31 Dec 1981","American Library Association","ALA Editions","Chicago IL United States",English,,,,0838903479,9780838903476,
"Paperback | 216 pages",,"11 Nov 2016","Polity Press",,"Oxford United Kingdom",English,,,,0745640664,9780745640662,
"Hardback | 400 pages","210 x 279mm","06 Jan 2017","Springer-Verlag New York Inc.",,"New York United States",English,,"2016 ed.","50 black &amp; white illustrations 200 colour illustrations biography",1493915312,9781493915316,
"Paperback | 288 pages","152 x 229mm","28 Jul 2016","Savas Beatie",,"El Dorado Hills United States",English,,,"43 images; 7 maps 7",1611212472,9781611212471,
"Paperback | 552 pages","152 x 229mm","15 Dec 2015","Cambridge Library Collection","CAMBRIDGE UNIVERSITY PRESS","Cambridge United Kingdom",English,,Reprint,"7 b/w illus. 6 music examples",1108080162,9781108080163,
"Paperback | 310 pages","140 x 216mm","01 Jun 2016","Cambridge Library Collection","CAMBRIDGE UNIVERSITY PRESS","Cambridge United Kingdom",English,,,,110807927X,9781108079273,
"Mixed media product | 2371 pages","155 x 235mm","04 Jun 2014","Springer-Verlag New York Inc.",,"New York NY United States",English,,"2014 ed.","97 black &amp; white illustrations 147 colour illustrations biography",1461474582,9781461474586,
"Paperback | 104 pages","152 x 229mm","30 May 2012","World Bank Publications",,"Washington United States",English,,,,0821380567,9780821380567,
"Paperback | 448 pages",,"31 Dec 1976","Vanderbilt University Press",,"Tennessee United States",English,,,,0826512046,9780826512048,
"Hardback | 208 pages",,"13 May 2020","Continuum Publishing Corporation",,"New York United States",English,,,,1441180400,9781441180407,
"Hardback | 256 pages","138 x 216mm","01 Feb 1986","Taylor &amp; Francis Inc","M.E. Sharpe","Armonk United States",English,,,,0873323467,9780873323468,
"Paperback | 224 pages","152 x 229mm","01 Aug 2017","ROWMAN &amp; LITTLEFIELD","Globe Pequot Press","Old Saybrook United States",English,,,"50 colour illustrations 1 maps",1493012711,9781493012718,
"Hardback | 100 pages",,"31 May 2004","Scholarly Resources Inc.U.S.",,"Denver United States",English,,,,0842018360,9780842018364,
"Hardback | 107 pages",,"31 May 2004","ROWMAN &amp; LITTLEFIELD",,"Lanham MD United States",English,,,,0842018344,9780842018340,
"Hardback | 172 pages",,"06 Sep 2003","Microsoft PressU.S.","MICROSOFT PRESS","Boston United States",English,,,,0072955422,9780072955422,
"Paperback | 160 pages","152 x 229mm","30 Apr 2013","BROOKINGS INSTITUTION",,"Washington DC United States",English,,,,0815702736,9780815702733,
"Paperback | 109 pages","148 x 210mm","08 Aug 2016","Springer Fachmedien Wiesbaden","Springer vs","Weisbaden Germany",English,,"2016 ed.","5 black &amp; white illustrations biography",3658110139,9783658110130,
"Paperback | 3400 pages","127 x 203mm","01 Jan 2017","WW Norton &amp; Co",,"New York United States",English,,,,0393929078,9780393929072,
"Hardback | 156 pages","138 x 216mm | 410g","31 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Revised,"2nd Revised edition",,1138173630,9781138173637,
"Hardback | 170 pages","152 x 229mm | 620g","31 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Revised,"2nd Revised edition",,1138142670,9781138142671,
"Hardback | 350 pages","156 x 235mm | 788g","03 Sep 2016","Taylor &amp; Francis Inc","Productivity Press","Portland United States",English,,,"22 black &amp; white illustrations 12 colour illustrations",1498723241,9781498723244,
"Paperback | 137 pages","150 x 230mm","31 Dec 1975","Ohio University Press",,"Ohio United States",English,"New edition","New edition",,0804003335,9780804003339,
"Hardback | 160 pages","156 x 234mm","11 Aug 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"5 black &amp; white illustrations 15 black &amp; white tables",1138905488,9781138905481,
"Hardback | 275 pages",,"25 Jun 2020","Elsevier Science Publishing Co Inc","Academic Press Inc","San Diego United States",English,,,ill,0123693829,9780123693822,
"Paperback | 350 pages","178 x 229mm","09 Feb 2020","Pearson Education (US)","Addison-Wesley Educational Publishers Inc","New Jersey United States",English,,,,0321617762,9780321617767,
"Hardback | 280 pages","156 x 234mm","12 Feb 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138125458,9781138125452,
"Paperback | 568 pages","152 x 229mm","13 Sep 2016","University of California Press",,"Berkerley United States",English,,,"23 music examples 15 halftones 1 table",0520288092,9780520288096,1051647
"Hardback | 944 pages","170 x 244mm","05 Oct 2016","Wiley-VCH Verlag GmbH","Blackwell Verlag GmbH","Berlin Germany",English,,"1. Auflage","3 SW-Abb.",3527341161,9783527341160,
"Paperback | 160 pages","156 x 234mm","30 Apr 2016","Taylor &amp; Francis Ltd","Ashgate Publishing Limited","United Kingdom",English,,Reprint,,1472484142,9781472484147,
"Paperback | 400 pages",,"30 Sep 2008","Larstan Publishing",,"North Potomac MD United States",English,,,,0976426641,9780976426646,
"Hardback | 352 pages","148 x 210mm | 564g","31 Jul 2016","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,"1st ed. 2016.",biography,1137524510,9781137524515,
"Hardback | 196 pages","152 x 229mm","22 Mar 2017","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"20 black &amp; white tables 20 black &amp; white line drawings",1138638099,9781138638099,
"Hardback | 344 pages","155.96 x 233.93mm","04 Sep 2015","TAYLOR &amp; FRANCIS",ROUTLEDGE,,English,Revised,Revised,,1138127418,9781138127418,
"Paperback | 226 pages","156 x 234mm","01 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138803332,9781138803336,
"Hardback | 224 pages","156 x 234mm","15 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"5 black &amp; white tables",113865647X,9781138656475,
"Paperback | 104 pages","216 x 280mm","01 Jan 2014","Rowman &amp; Littlefield Pub Inc",MaTok,"United States","English Hebrew","Student edition",Student,,0983453586,9780983453581,
"Paperback | 316 pages","138 x 216mm | 580g","12 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,Reprint,,1138818860,9781138818866,
"Hardback | 180 pages","174 x 246mm","01 Jan 2017","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1472449436,9781472449436,
"Hardback | 272 pages","156 x 234mm","15 Jan 2017","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138649244,9781138649248,
"Hardback | 248 pages","231 x 295mm","28 Dec 2016","Monaco Books",,"United Kingdom",English,,,"300 colour",3955042618,9783955042615,
"Hardback | 192 pages","156 x 234mm","05 May 2017","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1472467094,9781472467096,
"Paperback | 200 pages","210 x 300mm","01 Dec 1996","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy","English French Spanish",,"1996 ed 7th issue","chiefly tables",925003833X,9789250038339,
"Paperback | 134 pages","30 x 210mm","01 Dec 1996","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy","English French Spanish",,"1994 vol 12","graphs; tables",925003816X,9789250038162,
"Hardback | 872 pages","230 x 300mm","01 Dec 2007","CAMBRIDGE UNIVERSITY PRESS",,"Cambridge United Kingdom",English,Revised,"3rd Revised edition","300 b/w illus.",0521856191,9780521856195,
"Paperback | 256 pages","138 x 216 x 25mm","30 Jun 2016","I.B.Tauris &amp; Co Ltd",I.B.Tauris,"London United Kingdom",English,,,,1784535583,9781784535582,
"Paperback | 74 pages",,"01 Apr 1997","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy",English,,,,9251038635,9789251038635,
"Hardback | 296 pages","152 x 229mm","22 Dec 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"75 black &amp; white illustrations",1138184683,9781138184688,
"Paperback | 240 pages","129.03 x 198.12mm","01 Jan 2017","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Revised,"2nd Revised edition",,113866801X,9781138668010,
"Hardback | 350 pages",,"31 Oct 2016","Cold Spring Harbor Laboratory Press",,"United States",English,,,,1621820939,9781621820932,
"Hardback | 350 pages",,"31 Oct 2016","Cold Spring Harbor Laboratory Press",,"United States",English,,,,1621820106,9781621820109,
"Hardback | 232 pages","178 x 254mm","25 Aug 2016","Oxford University Press Inc",,"New York United States",English,,,,019023461X,9780190234614,
"Hardback | 600 pages","171 x 248mm","29 Sep 2016","Oxford University Press Inc",,"New York United States",English,,,,019989292X,9780199892921,
"Hardback | 248 pages","156 x 234mm","06 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"18 black &amp; white illustrations 17 black &amp; white tables 18 black &amp; white line drawings",1138672076,9781138672079,
"Paperback | 176 pages","156 x 234mm","01 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138803413,9781138803411,
"Hardback | 206 pages","156 x 234mm | 458g","07 Jul 2016","Taylor &amp; Francis Ltd","Ashgate Publishing Limited","United Kingdom",English,,,"5 black &amp; white illustrations 5 black &amp; white tables",1472479513,9781472479518,
"Hardback | 225 pages","220 x 276mm","06 Sep 2016","JP Medical Ltd",,"London United Kingdom",English,,,"400 colour illustrations",1907816917,9781907816918,
"Hardback | 392 pages","169 x 244mm","25 Aug 2016","Bloomsbury Publishing PLC","Bloomsbury Academic","London United Kingdom",English,,,"280 bw illus",1472577477,9781472577474,
"Hardback | 200 pages","178 x 254mm","05 Dec 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2016 ed.","75 colour illustrations biography",3319234153,9783319234151,
"Paperback | 104 pages","216 x 280mm","01 Jan 2009","Rowman &amp; Littlefield Pub Inc",MaTok,"United States",Hebrew,"Student edition",Student,,0838100848,9780838100844,
"Hardback | 315 pages",,"01 Feb 1986","Taylor &amp; Francis Inc","M.E. Sharpe","Armonk United States",English,,Subsequent,port.,0873323580,9780873323581,
"Hardback | 232 pages","156 x 234mm | 470g","08 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"37 black &amp; white illustrations 37 black &amp; white line drawings",1138824046,9781138824041,
"Paperback | 208 pages",,"13 May 2020","Continuum Publishing Corporation",,"New York United States",English,,,,1441196315,9781441196316,
"Hardback | 440 pages","156 x 234mm | 430g","31 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138142980,9781138142985,
"Hardback | 226 pages","156 x 234mm | 231g","31 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Revised,"3rd Revised edition",,1138142107,9781138142107,
"Hardback | 300 pages","155 x 235mm","10 Oct 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2016 ed.","13 black &amp; white illustrations 6 colour illustrations 6 colour tables biography",3319124021,9783319124025,
"Paperback | 79 pages",,"01 Dec 1996","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy","English French Spanish",,,,9250038364,9789250038360,
